,business_id,name,neighborhood,city,state,overall_rating,review_count,categories,review_id,review_rating,date,text
446691,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,kaSiZ4cDXpeCtkhL2ztlDg,5,2017-10-24,"Displayed in a glass case are delicious baklava & ravani. Both the baklava & ravani are always impeccably fresh, as are all of Meraki's menu items.  The baklava & ravani are there as you order, so go ahead and order one of each. you won't regret it!  
Meraki has traditional Greek cuts, always tender, robust and basted with lemon, Greek olive oil and various herbs.  They offer classic gyros and are always spot on! 
The Greek spreads such as tzatziki are always consistent and hit the spot!  Who can resist not ordering garlic and cucumbers;)   Perhaps when you first try Meraki May I suggest ordering the combo of spreads.  
The staff exudes enthusiasm and ask away for dining recommendations."
446692,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,xQ7lS9VjG4nHlf5nCZEglA,5,2017-03-23,I heard through the local grape vine that Chef Nico left Estiatorio Milos and created Meraki. I finally got a chance to stop by and I expected no less from Chef Nico. Every dish I ordered was prepared and executed perfectly. I'll definitely be back to enjoy more of his menu
446693,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,763gLfjrxKB0pJNtmQQ94g,4,2017-04-16,"This place hit the spot for a takeout. Was disappointed that there was all this baklava sitting on the counter but it was all already ""sold""..... so the gal gave me a complimentary slice of wet cake. Not good...
The gyros were delicious and the ingredients were fresh. Overall good food and good service. I will be back again soon and try some of their other menu items. Hopefully all their baklava won't be sold again! Lol"
446694,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,DFFzcQnyTcqFqMfzibEc6w,4,2017-07-29,"Went here for lunch on a recommendation as ""the best Mediterranean food"". And I will say it comes pretty darn close. 

I just recently started the keto diet, so I liked that they had some options available. I had the meraki bowl with no rice, no beans, easy tomatoes and olives on the side (I don't like olives) with their gyro meat. It was delicious! All the flavors mixed very well together and made my taste buds scream of joy. My boyfriend ordered the lamb burger and feta fries. He said it was very tender and rich in flavor. And it was way more than filling. He didn't care too much for the fries, but they were still good nonetheless. He liked dipping them in my tzatziki. 

Overall it was very good food and a great experience. We'll be back when we're on this side of town, most definitely :)"
446695,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,WVa8NmPPlaIONN79OqR2CQ,5,2017-06-07,"I had been hearing CONSTANT noise about this restaurant for the past week. I passed it by on several occasions because I'm not a huge Greek foodie. Finally, I had to try it. So many great reviews couldn't be wrong. And they weren't. This was by far more than I expected it to be. The menu is massive for such a quaint restaurant. By no means is it a small place, but it feels so warm, friendly and inviting when you walk in. You can make combination upon combination of entrees with this menu! Tried the hummus (Appetizer; $4.49) and it was DELICIOUS! This one was so fresh and flavorful for being so simple. I love hummus and they do it right. Then, my boyfriend and I each got the ""From the Grill"" Gyro plate ($12.95), after the cashier suggested that since it was our first time there. I got mine over rice and my boyfriend had his with the feta fries. The plate is gigantic for one person, so we had to take half of each home to enjoy later. The feta fries are AMAZING and I'm not even a feta fan! The rice was so fluffy and full of flavor, too. The plate comes with a heaping pile of the Gyro meat (beef\/lamb), a nice big salad and side of pita bread. More than enough for one person! The staff is wonderful, friendly, smiley and offers help if you're not sure of what to get. Couldn't have asked for a better dining *first* experience. We will be back time and time again!"
446696,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,bHPBG5hV4F-53aGDzyiXrw,5,2017-07-12,The best Greek food I have had in Las Vegas in a long time.  The falafel is my favorite.
446697,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,aNNp_nmYIMREdSFl1nzF1g,5,2017-06-29,"I'm shocked I must say! My wife was craving Greek so we decided to forgo our usual place and try a new one. First the customer service was amazing! Second the service was quick and the food was fresh! Third the food was amazing, far better than our usual place! Fourth and lastly the overall atmosphere was great, the entire restaurant was extremely clean down to the silverware not having even water spots. If I could give more than five stars I definitely would!"
446698,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,iLLYh6HbqMv8MqUmhy2uuw,5,2017-09-09,"Meraki is truly amazing. I'd like to start with the staff, because they are all so polite and knowledgable of the menu items. The food is always fresh, cooked perfectly & top notch. The price is so reasonable as well. My coworkers and I have ordered this 3 days in a row, were a tad obsessed. The plates are very large portions, so you'll have plenty of leftovers to take home. The Baclava Ice Cream is also one of our favorites. Try this place out, you will not regret it!"
446699,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,0rqZwhjZdOqyBh0cbzuTmA,5,2017-02-16,"Hands down my new favorite Greek restaurant in town. Portions are generous, food is cooked to perfection! Staff are very friendly and help you understand any food items you might not be familiar with. They constantly checked to make sure everything was satisfactory and went out of their way to make sure your dining experience was top notch! They truly make you feel like you're part of their greek family. I will definitely be a regular at this place."
446700,L1-1P3acJc4gEFvWwjXcNQ,"""Meraki Greek Grill""",Spring Valley,Las Vegas,NV,5.0,327,Restaurants;Greek,gZ-8gPmK9kAkx6EZyRahMQ,5,2017-05-13,"Me and my sister checked this place out on a whim and went during their rush. I can see why this place is so busy, their food was so good. The staff was super friendly. I will definitely be coming back."
